,open,high,close,low
2016-01-19,15.55,16.25,16.22,15.33
2016-01-18,14.97,15.72,15.56,14.7
2016-01-15,15.71,16.1,15.42,15.21
2016-01-14,14.86,16.0,15.94,14.39
2016-01-13,15.45,15.88,15.28,14.75
2016-01-12,15.9,16.1,15.3,15.0
2016-01-11,16.59,17.24,15.9,15.9
2016-01-08,18.5,18.57,17.67,16.3
2016-01-07,19.7,19.7,18.04,18.04
2016-01-06,19.9,20.28,20.05,19.53
2016-01-05,19.0,21.15,19.83,19.0
2016-01-04,22.8,22.84,20.69,20.68
2015-12-31,21.9,23.38,22.98,21.9
2015-12-30,21.88,21.96,21.85,21.36
2015-12-29,21.86,22.27,21.78,21.3
2015-12-28,23.2,23.4,21.89,21.85
2015-12-25,23.18,23.3,23.19,22.82
2015-12-24,24.05,24.05,23.05,22.88
2015-12-23,23.97,24.44,24.11,23.66
2015-12-22,23.8,24.1,23.8,23.5
2015-12-21,24.2,24.8,23.95,23.7
2015-12-18,23.53,24.66,23.99,23.43
2015-12-17,22.5,23.35,23.33,22.5
2015-12-16,22.59,22.65,22.24,22.15
2015-12-15,22.24,22.66,22.32,22.01
2015-12-14,21.61,22.31,22.29,21.5
2015-12-11,21.81,22.39,21.89,21.6
2015-12-10,21.85,23.36,22.2,21.84
2015-12-09,21.06,21.87,21.3,21.01
2015-12-08,21.93,21.93,21.06,21.0
2015-12-07,21.45,22.15,22.02,21.09
2015-12-04,21.1,21.88,21.45,21.03
2015-12-03,20.66,21.32,21.18,20.66
2015-12-02,21.3,21.37,20.81,20.3
2015-12-01,20.38,22.0,21.25,20.01
2015-11-30,21.18,21.98,20.44,19.29
2015-11-27,23.35,23.43,21.17,21.17
2015-11-26,23.85,24.08,23.53,23.5
2015-11-25,23.4,24.15,23.85,23.4
2015-11-24,23.26,23.75,23.64,22.86
2015-11-23,24.55,24.61,23.3,23.25
2015-11-20,23.93,24.49,24.23,23.53
2015-11-19,23.72,24.26,23.91,23.01
2015-11-18,26.17,26.28,24.01,23.8
2015-11-17,27.62,27.69,26.1,25.9
2015-11-16,24.51,26.28,26.05,24.1
2015-11-13,24.1,26.35,24.95,24.1
