,open,high,close,low
2015-04-21,21.0,21.97,21.71,20.8
2015-04-20,21.7,22.78,21.27,20.24
2015-04-17,22.6,23.97,22.06,21.8
2015-04-16,24.63,25.21,22.97,21.94
2015-04-15,23.45,25.56,24.38,23.4
2015-04-14,21.45,23.24,23.24,21.45
2015-04-13,19.6,21.3,21.13,19.5
2015-04-10,19.55,19.89,19.43,19.2
2015-04-09,18.28,19.89,19.62,18.02
2015-04-08,17.6,18.53,18.42,17.6
2015-04-07,16.54,17.98,17.54,16.5
2015-04-03,16.44,16.77,16.66,16.25
2015-04-02,16.21,16.5,16.44,16.21
2015-04-01,16.18,16.48,16.29,16.0
2015-03-31,16.78,16.88,16.17,16.07
2015-03-30,15.99,16.63,16.42,15.99
2015-03-27,14.9,15.86,15.77,14.9
2015-03-26,15.14,15.35,14.93,14.91
2015-03-25,15.97,15.97,15.3,15.18
2015-03-24,15.38,16.16,15.68,15.28
2015-03-23,15.34,15.56,15.38,15.25
2015-03-20,15.38,15.48,15.34,15.18
2015-03-19,15.2,15.64,15.38,15.11
2015-03-18,15.18,15.66,15.31,15.02
2015-03-17,14.9,15.44,15.18,14.63
2015-03-16,14.52,15.05,14.87,14.51
2015-03-13,14.13,14.5,14.47,14.08
2015-03-12,14.11,14.8,14.11,13.95
2015-03-11,14.8,15.08,14.3,14.14
2015-03-10,14.2,14.8,14.65,14.01
2015-03-09,14.14,14.85,14.31,13.8
2015-03-06,13.17,14.48,14.28,13.13
2015-03-05,12.88,13.45,13.16,12.87
2015-03-04,12.8,12.92,12.9,12.61
2015-03-03,12.52,13.06,12.7,12.52
2015-03-02,12.25,12.67,12.52,12.2
